movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross,is_franchise,release_year,release_month,inflation_multiplier
Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485,5228953251,False,1937,December,28.27600128235435
Pinocchio,1940-02-09,Adventure,G,84300000,2188229052,False,1940,February,25.95764
Fantasia,1940-11-13,Musical,G,83320000,2187090808,False,1940,November,26.249289582333173
Song of the South,1946-11-12,Adventure,G,65000000,1078510579,False,1946,November,16.592470446153847
Cinderella,1950-02-15,Drama,G,85000000,920608730,False,1950,February,10.83069094117647
"20,000 Leagues Under the Sea",1954-12-23,Adventure,Not Rated,28200000,528279994,True,1954,December,18.733333120567377
Lady and the Tramp,1955-06-22,Drama,G,93600000,1236035515,False,1955,June,13.20550763888889
Sleeping Beauty,1959-01-29,Drama,Not Rated,9464608,21505832,False,1959,January,2.2722369484293488
101 Dalmatians,1961-01-25,Comedy,G,153000000,1362870985,False,1961,January,8.907653496732026
The Absent Minded Professor,1961-03-16,Comedy,Not Rated,25381407,310094574,False,1961,March,12.217391021703406
Babes in Toyland,1961-12-14,Musical,G,10218316,124841160,False,1961,December,12.217390810775473
Bon Voyage!,1962-05-17,Comedy,Not Rated,9230769,109581646,False,1962,May,11.871345280116966
The Sword in the Stone,1963-12-25,Adventure,Not Rated,22182353,153870834,False,1963,December,6.9366326466809
The Jungle Book,1967-10-18,Musical,Not Rated,141843000,789612346,False,1967,October,5.566805171915427
Blackbeard's Ghost,1968-02-08,Comedy,Not Rated,21540050,138612686,False,1968,February,6.4351144031699095
The Aristocats,1970-04-24,Musical,G,55675257,255161499,False,1970,April,4.583032261530468
The Boatniks,1970-07-01,Comedy,Not Rated,18607492,101200742,False,1970,July,5.438709418765302
Bedknobs and Broomsticks,1971-10-07,Musical,Not Rated,17871174,91305448,False,1971,October,5.109090650675776
The Apple Dumpling Gang,1975-07-01,Comedy,Not Rated,31916500,131246872,False,1975,July,4.112195008851221
Freaky Friday,1977-01-21,Comedy,Not Rated,25942000,98067733,False,1977,January,3.780268791920438
The Many Adventures of Winnie the Pooh,1977-03-11,Other,Not Rated,0,0,False,1977,March,
The Rescuers,1977-06-22,Adventure,Not Rated,48775599,159743914,False,1977,June,3.275078467001502
Herbie Goes to Monte Carlo,1977-06-24,Other,Not Rated,28000000,105847527,False,1977,June,3.7802688214285713
The Black Hole,1979-12-21,Other,Not Rated,35841901,120377374,False,1979,December,3.3585655515314325
Midnight Madness,1980-02-08,Other,Not Rated,2900000,9088096,False,1980,February,3.133826206896552
The Last Flight of Noah’s Ark,1980-06-25,Other,Not Rated,11000000,34472116,False,1980,June,3.133828727272727
The Devil and Max Devlin,1981-01-01,Other,Not Rated,16000000,48517980,False,1981,January,3.03237375
Amy,1981-03-20,Drama,Not Rated,0,0,False,1981,March,
The Fox and the Hound,1981-07-10,Comedy,Not Rated,43899231,133118889,False,1981,July,3.0323740522926244
Condorman,1981-08-07,Action,Not Rated,0,0,False,1981,August,
Night Crossing,1982-02-05,Drama,Not Rated,4500000,12903059,False,1982,February,2.8673464444444443
Tron,1982-07-09,Action,Not Rated,26918576,77184895,False,1982,July,2.8673468834309808
Tex,1982-11-19,Drama,Not Rated,7199408,20643199,False,1982,November,2.867346731842396
Trenchcoat,1983-03-11,Comedy,Not Rated,4304286,11519089,False,1983,March,2.676190429725162
Something Wicked This Way Comes,1983-04-29,Horror,Not Rated,5656087,15136765,False,1983,April,2.67619027076493
Never Cry Wolf,1983-10-07,Drama,Not Rated,27668764,70669955,False,1983,October,2.554142100456674
Running Brave,1983-11-04,Drama,Not Rated,1204595,3223725,False,1983,November,2.6761899227541206
Splash,1984-03-09,Comedy,PG,62599495,157057661,False,1984,March,2.508928562442876
Country,1984-09-29,Drama,Not Rated,8400000,21075000,False,1984,September,2.5089285714285716
Baby: Secret of the Lost Legend,1985-03-22,Adventure,Not Rated,14276095,33900697,False,1985,March,2.374647759068569
Return to Oz,1985-06-21,Adventure,Not Rated,10618813,25215934,False,1985,June,2.3746471474730746
The Black Cauldron,1985-07-24,Adventure,Not Rated,21288692,50553142,False,1985,July,2.374647629830898
My Science Project,1985-08-09,Comedy,Not Rated,4100000,9736051,False,1985,August,2.374646585365854
The Journey of Natty Gann,1985-09-27,Drama,Not Rated,9468512,22302956,False,1985,September,2.3554869022714446
One Magic Christmas,1985-11-22,Drama,Not Rated,13229514,31415432,False,1985,November,2.3746474738225456
Down and Out in Beverly Hills,1986-01-31,Comedy,R,62134225,141183693,False,1986,January,2.2722371285712506
Off Beat,1986-04-11,Comedy,Not Rated,4842778,11003932,False,1986,April,2.2722354813704033
Ruthless People,1986-06-27,Comedy,R,71624879,162748712,False,1986,June,2.272237164966101
The Great Mouse Detective,1986-07-02,Adventure,Not Rated,23605534,53637367,False,1986,July,2.2722369678228844
Flight of the Navigator,1986-07-30,Adventure,Not Rated,18564613,42183197,False,1986,July,2.272236808814706
Tough Guys,1986-10-03,Comedy,Not Rated,21458229,48758184,False,1986,October,2.272237098411057
The Color of Money,1986-10-17,Drama,R,52293000,117957323,False,1986,October,2.2557000554567535
Outrageous Fortune,1987-01-30,Comedy,R,52864741,113976921,False,1987,January,2.156010203473805
Tin Men,1987-03-06,Comedy,Not Rated,25411386,54787202,False,1987,March,2.1560099870192047
Ernest Goes to Camp,1987-05-22,Comedy,Not Rated,23509382,50686462,False,1987,May,2.156009970827817
Benji the Hunted,1987-06-05,Adventure,Not Rated,15212539,32798382,False,1987,June,2.156009723294711
Adventures in Babysitting,1987-07-03,Comedy,Not Rated,33790923,72853569,False,1987,July,2.1560100326350957
Stakeout,1987-08-05,Comedy,R,65673233,141592160,False,1987,August,2.156010196726572
Can't Buy Me Love,1987-08-14,Romantic Comedy,Not Rated,31623833,68181300,False,1987,August,2.156009994107925
Hello Again,1987-11-06,Comedy,Not Rated,20419446,44024529,False,1987,November,2.15600996226832
3 Men and a Baby,1987-11-25,Comedy,PG,167780960,353334607,True,1987,November,2.1059279133937485
Good Morning Vietnam,1987-12-23,Comedy,R,123922370,254414837,False,1987,December,2.0530178449621324
Shoot to Kill,1988-02-12,Action,Not Rated,29300000,60097074,False,1988,February,2.051094675767918
